DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
06/01/2017,60.40,GAS,61.50,61.50,60.40,73420.00
05/01/2017,61.50,GAS,61.80,61.80,61.00,30860.00
04/01/2017,61.50,GAS,60.00,61.80,59.90,144060.00
03/01/2017,60.10,GAS,61.00,61.00,59.90,119390.00
30/12/2016,60.60,GAS,59.70,60.80,59.70,63220.00
29/12/2016,59.70,GAS,59.90,60.10,59.70,158240.00
28/12/2016,59.90,GAS,60.00,60.50,59.60,199190.00
27/12/2016,60.00,GAS,61.00,61.40,56.90,122290.00
26/12/2016,61.10,GAS,63.00,63.00,61.10,33570.00
23/12/2016,62.00,GAS,63.60,63.60,62.00,91970.00
22/12/2016,63.50,GAS,63.50,63.80,63.20,74520.00
21/12/2016,65.00,GAS,64.40,65.20,64.10,148590.00
20/12/2016,63.60,GAS,64.90,65.00,63.50,128610.00
19/12/2016,64.90,GAS,65.50,65.50,64.50,89160.00
16/12/2016,64.20,GAS,64.90,64.90,63.50,111530.00
15/12/2016,64.40,GAS,65.00,65.00,63.90,114660.00
14/12/2016,65.00,GAS,64.10,65.50,64.10,68590.00
13/12/2016,65.00,GAS,67.00,67.00,64.50,123920.00
12/12/2016,66.00,GAS,66.90,68.30,66.00,171330.00
09/12/2016,66.00,GAS,65.50,66.00,64.00,177470.00
08/12/2016,65.00,GAS,64.00,65.50,63.90,109720.00
07/12/2016,65.30,GAS,65.30,66.70,65.00,50640.00
06/12/2016,66.90,GAS,67.00,67.00,64.00,141330.00
05/12/2016,66.50,GAS,67.20,67.70,66.00,43400.00
02/12/2016,67.90,GAS,69.00,69.30,67.50,125390.00
01/12/2016,68.30,GAS,68.30,68.30,68.00,355160.00
30/11/2016,63.90,GAS,64.50,64.50,63.00,197670.00
29/11/2016,64.50,GAS,66.70,68.00,64.50,165130.00
28/11/2016,68.00,GAS,68.00,68.10,67.50,156290.00
25/11/2016,68.00,GAS,68.00,68.20,67.50,126720.00
24/11/2016,68.20,GAS,68.20,68.60,68.00,47110.00
23/11/2016,68.60,GAS,68.70,69.20,68.50,59900.00
22/11/2016,68.70,GAS,68.00,69.50,68.00,93310.00
21/11/2016,67.30,GAS,67.20,67.40,67.20,70110.00
18/11/2016,67.20,GAS,67.00,67.30,67.00,78920.00
17/11/2016,67.20,GAS,67.50,67.50,67.20,73200.00
16/11/2016,67.30,GAS,67.90,68.30,67.10,125530.00
15/11/2016,67.20,GAS,67.00,67.40,66.60,92810.00
14/11/2016,67.00,GAS,68.00,68.00,66.80,89780.00
11/11/2016,68.10,GAS,68.00,69.00,68.00,31690.00
10/11/2016,68.00,GAS,67.10,68.50,67.10,244160.00
09/11/2016,67.10,GAS,66.00,67.70,64.00,239570.00
08/11/2016,67.70,GAS,67.80,67.80,67.20,157360.00
07/11/2016,67.30,GAS,65.70,67.30,65.00,152080.00
04/11/2016,65.70,GAS,65.70,65.70,64.90,92300.00
03/11/2016,65.30,GAS,65.80,65.80,63.60,224930.00
02/11/2016,65.90,GAS,66.50,66.80,65.70,140040.00
01/11/2016,66.50,GAS,65.50,66.80,65.30,285650.00
31/10/2016,66.00,GAS,68.00,68.00,66.00,297550.00
28/10/2016,68.00,GAS,67.50,68.20,67.50,117960.00
27/10/2016,67.80,GAS,67.70,68.00,67.20,128110.00
26/10/2016,67.70,GAS,67.90,68.30,67.70,143550.00
25/10/2016,68.30,GAS,68.00,68.50,67.10,187330.00
24/10/2016,68.10,GAS,68.10,68.90,68.10,112040.00
21/10/2016,69.00,GAS,68.50,69.00,68.10,186160.00
20/10/2016,69.00,GAS,69.80,69.80,69.00,144580.00
19/10/2016,69.10,GAS,69.00,69.50,68.60,90290.00
18/10/2016,68.50,GAS,69.50,69.80,68.20,128270.00
17/10/2016,69.50,GAS,70.80,70.80,69.00,119640.00
14/10/2016,70.80,GAS,71.20,71.80,70.80,76660.00
13/10/2016,71.00,GAS,69.00,71.00,69.00,96960.00
12/10/2016,70.50,GAS,72.00,72.00,70.00,146820.00
11/10/2016,72.00,GAS,69.30,72.00,68.30,291730.00
10/10/2016,67.50,GAS,70.90,70.90,67.50,128380.00
07/10/2016,70.90,GAS,71.80,71.80,70.50,109370.00
06/10/2016,70.50,GAS,72.00,72.20,70.50,86330.00
05/10/2016,71.60,GAS,71.10,72.20,71.10,116800.00
04/10/2016,71.10,GAS,71.00,72.00,70.00,157860.00
03/10/2016,71.00,GAS,70.70,71.50,70.50,125030.00
30/09/2016,70.50,GAS,73.20,73.30,70.50,343210.00
29/09/2016,73.20,GAS,72.00,74.20,72.00,456820.00
28/09/2016,70.00,GAS,69.00,70.00,69.00,459890.00
27/09/2016,69.30,GAS,68.50,69.30,68.10,318780.00
26/09/2016,68.50,GAS,68.00,68.50,67.10,261700.00
23/09/2016,68.60,GAS,67.70,68.60,67.40,162790.00
22/09/2016,67.80,GAS,68.80,69.00,67.80,240820.00
21/09/2016,67.60,GAS,66.00,67.70,65.60,399860.00
20/09/2016,66.00,GAS,63.90,66.00,63.50,221460.00
19/09/2016,64.00,GAS,63.30,64.00,63.20,127030.00
16/09/2016,63.20,GAS,63.00,63.20,62.80,104950.00
15/09/2016,63.00,GAS,62.50,63.50,62.50,301400.00
14/09/2016,63.50,GAS,63.50,63.70,62.90,183850.00
13/09/2016,63.50,GAS,62.50,64.00,62.50,159100.00
12/09/2016,63.10,GAS,63.00,63.50,62.50,199240.00
09/09/2016,64.50,GAS,65.00,66.50,64.50,390520.00
08/09/2016,64.50,GAS,63.00,65.00,63.00,253060.00
07/09/2016,63.00,GAS,63.00,64.00,62.00,341850.00
06/09/2016,64.00,GAS,63.00,64.50,63.00,299840.00
05/09/2016,63.00,GAS,63.00,63.50,62.50,307240.00
01/09/2016,63.50,GAS,64.00,64.50,63.00,242130.00
31/08/2016,64.00,GAS,64.00,64.50,63.50,361250.00
30/08/2016,64.50,GAS,62.00,64.50,62.00,328260.00
29/08/2016,63.00,GAS,63.00,64.00,63.00,201650.00
26/08/2016,63.50,GAS,62.00,63.50,62.00,151110.00
25/08/2016,62.00,GAS,63.00,63.50,61.50,334400.00
24/08/2016,63.50,GAS,63.50,64.50,63.50,212080.00
23/08/2016,63.50,GAS,64.50,64.50,63.00,280550.00
22/08/2016,65.50,GAS,64.50,66.50,64.50,462840.00
19/08/2016,64.50,GAS,63.50,65.50,62.50,666770.00
18/08/2016,62.00,GAS,63.50,63.50,61.50,395590.00
17/08/2016,63.50,GAS,63.50,64.00,63.00,416560.00
16/08/2016,63.50,GAS,64.50,65.00,63.00,398420.00
15/08/2016,64.00,GAS,63.00,64.50,63.00,261300.00
12/08/2016,63.00,GAS,64.00,65.50,63.00,485930.00
11/08/2016,62.00,GAS,61.00,62.00,60.50,328430.00
10/08/2016,62.00,GAS,61.50,62.00,61.00,282640.00
09/08/2016,61.50,GAS,60.50,62.00,60.50,155570.00
08/08/2016,60.50,GAS,59.50,60.50,59.00,233810.00
05/08/2016,59.50,GAS,59.50,60.50,59.50,242360.00
04/08/2016,59.50,GAS,60.00,60.50,59.50,284210.00
03/08/2016,59.00,GAS,58.50,59.50,58.00,340370.00
02/08/2016,59.50,GAS,58.00,59.50,58.00,505680.00
01/08/2016,60.00,GAS,60.00,60.50,58.50,157810.00
29/07/2016,58.50,GAS,56.50,59.00,56.00,342350.00
28/07/2016,58.00,GAS,60.00,60.00,57.00,434230.00
27/07/2016,60.50,GAS,59.00,60.50,59.00,431140.00
26/07/2016,59.00,GAS,61.50,61.50,59.00,476690.00
25/07/2016,62.00,GAS,61.50,63.00,60.50,258480.00
22/07/2016,61.50,GAS,62.00,62.00,59.50,527280.00
21/07/2016,63.00,GAS,63.00,64.50,62.50,364630.00
20/07/2016,62.50,GAS,63.50,64.00,62.50,370850.00
19/07/2016,64.00,GAS,64.50,65.00,62.50,509820.00
18/07/2016,65.00,GAS,64.50,65.00,64.00,218600.00
15/07/2016,64.00,GAS,65.00,65.00,64.00,308940.00
14/07/2016,64.50,GAS,65.50,66.50,64.50,423230.00
13/07/2016,66.00,GAS,65.50,67.00,65.00,686300.00
12/07/2016,64.50,GAS,64.00,65.00,64.00,516910.00
11/07/2016,64.00,GAS,65.00,66.00,63.50,620090.00
08/07/2016,66.00,GAS,66.00,67.00,65.00,764050.00
07/07/2016,67.00,GAS,65.00,67.00,64.50,468190.00
06/07/2016,64.50,GAS,65.00,65.50,64.00,461320.00
05/07/2016,65.50,GAS,66.50,67.50,65.00,430750.00
04/07/2016,66.50,GAS,66.00,66.50,65.50,204330.00
01/07/2016,65.50,GAS,63.00,66.50,63.00,708190.00
30/06/2016,62.50,GAS,63.00,64.50,62.50,336610.00
29/06/2016,62.00,GAS,60.50,62.00,60.50,452560.00
28/06/2016,60.50,GAS,59.00,60.50,59.00,123320.00
27/06/2016,60.50,GAS,58.50,61.00,58.00,249890.00
24/06/2016,60.00,GAS,61.00,61.50,57.00,991960.00
23/06/2016,61.00,GAS,60.50,61.00,60.50,135840.00
22/06/2016,60.50,GAS,60.50,61.50,60.50,129740.00
21/06/2016,60.50,GAS,61.50,62.00,60.50,277680.00
20/06/2016,61.50,GAS,60.50,61.50,60.00,322630.00
17/06/2016,59.50,GAS,59.00,60.50,59.00,329190.00
16/06/2016,60.00,GAS,61.00,61.50,60.00,398130.00
15/06/2016,61.50,GAS,59.50,62.00,59.00,564820.00
14/06/2016,60.00,GAS,60.00,61.00,59.00,511180.00
13/06/2016,60.00,GAS,59.00,60.00,58.50,751750.00
10/06/2016,60.50,GAS,61.00,62.00,60.50,555260.00
09/06/2016,62.00,GAS,61.00,62.00,61.00,423150.00
08/06/2016,60.50,GAS,62.50,63.00,60.50,595820.00
07/06/2016,61.50,GAS,62.00,62.00,60.50,170530.00
06/06/2016,60.50,GAS,60.00,61.00,59.50,321640.00
03/06/2016,60.50,GAS,61.50,62.50,60.50,337210.00
02/06/2016,61.50,GAS,59.50,61.50,59.50,543250.00
01/06/2016,60.00,GAS,60.00,60.50,59.00,407400.00
31/05/2016,60.00,GAS,57.00,60.50,57.00,972210.00
30/05/2016,57.00,GAS,57.00,57.50,56.00,400740.00
27/05/2016,56.50,GAS,56.50,57.00,56.00,280110.00
26/05/2016,57.00,GAS,57.50,58.00,56.50,401200.00
25/05/2016,57.50,GAS,57.50,58.00,57.00,379090.00
24/05/2016,56.50,GAS,56.00,57.00,55.00,470200.00
23/05/2016,56.50,GAS,57.50,57.50,56.00,488360.00
20/05/2016,57.50,GAS,58.50,58.50,57.00,671010.00
19/05/2016,57.50,GAS,57.00,58.00,56.50,779220.00
18/05/2016,58.00,GAS,59.00,60.00,57.50,1128220.00
17/05/2016,59.00,GAS,57.00,59.00,56.50,1565850.00
16/05/2016,55.50,GAS,53.50,55.50,53.50,818020.00
13/05/2016,54.00,GAS,52.50,54.00,52.00,780030.00
12/05/2016,52.50,GAS,52.50,54.00,52.00,786420.00
11/05/2016,52.00,GAS,51.00,52.00,50.50,630570.00
10/05/2016,51.00,GAS,50.00,51.00,49.50,974170.00
09/05/2016,51.00,GAS,51.50,51.50,50.00,576800.00
06/05/2016,50.50,GAS,50.00,52.00,49.80,816430.00
05/05/2016,50.00,GAS,50.50,51.50,50.00,536180.00
04/05/2016,50.50,GAS,49.00,50.50,48.80,1295780.00
29/04/2016,51.00,GAS,51.50,52.00,50.50,583190.00
28/04/2016,51.00,GAS,51.00,52.50,50.50,1261820.00
